Photon   |Tot. w/ |Tot. wo/|
Energy   |Coherent|Coherent|

2.420E-01|2.161E-01|1.973E-01|
2.618E-01|1.907E-01|1.746E-01|
2.817E-01|1.713E-01|1.573E-01|
3.015E-01|1.561E-01|1.437E-01|
3.213E-01|1.439E-01|1.330E-01|
3.411E-01|1.339E-01|1.242E-01|
3.609E-01|1.256E-01|1.169E-01|
3.808E-01|1.187E-01|1.108E-01|
4.006E-01|1.127E-01|1.056E-01|
4.204E-01|1.076E-01|1.011E-01|
4.402E-01|1.031E-01|9.717E-02|
4.600E-01|9.917E-02|9.372E-02|
4.798E-01|9.567E-02|9.065E-02|
4.997E-01|9.255E-02|8.791E-02|
5.195E-01|8.974E-02|8.544E-02|
5.393E-01|8.719E-02|8.319E-02|
5.591E-01|8.487E-02|8.114E-02|
5.789E-01|8.273E-02|7.925E-02|
5.988E-01|8.076E-02|7.751E-02|
6.186E-01|7.894E-02|7.588E-02|
6.384E-01|7.724E-02|7.437E-02|
6.582E-01|7.565E-02|7.295E-02|
6.780E-01|7.417E-02|7.161E-02|
6.978E-01|7.277E-02|7.036E-02|
7.177E-01|7.146E-02|6.917E-02|
7.375E-01|7.021E-02|6.805E-02|
7.573E-01|6.904E-02|6.699E-02|
7.771E-01|6.792E-02|6.597E-02|
7.969E-01|6.686E-02|6.501E-02|
8.168E-01|6.585E-02|6.408E-02|
8.366E-01|6.488E-02|6.320E-02|
8.564E-01|6.396E-02|6.235E-02|
8.762E-01|6.307E-02|6.153E-02|
8.960E-01|6.222E-02|6.075E-02|
9.159E-01|6.140E-02|5.999E-02|
9.357E-01|6.062E-02|5.927E-02|
9.555E-01|5.986E-02|5.856E-02|
9.753E-01|5.913E-02|5.789E-02|
9.951E-01|5.843E-02|5.723E-02|
1.015E+00|5.775E-02|5.660E-02|
1.035E+00|5.709E-02|5.599E-02|
1.055E+00|5.646E-02|5.539E-02|
1.074E+00|5.585E-02|5.482E-02|
1.094E+00|5.526E-02|5.427E-02|
1.114E+00|5.469E-02|5.373E-02|
1.134E+00|5.414E-02|5.322E-02|
1.154E+00|5.361E-02|5.272E-02|
1.173E+00|5.310E-02|5.224E-02|
1.193E+00|5.261E-02|5.177E-02|
1.213E+00|5.213E-02|5.132E-02|
1.233E+00|5.167E-02|5.088E-02|
1.253E+00|5.122E-02|5.046E-02|
1.273E+00|5.079E-02|5.006E-02|
1.292E+00|5.037E-02|4.966E-02|
1.312E+00|4.997E-02|4.928E-02|
1.332E+00|4.958E-02|4.891E-02|
1.352E+00|4.920E-02|4.855E-02|
1.372E+00|4.884E-02|4.821E-02|
1.391E+00|4.848E-02|4.787E-02|
1.411E+00|4.814E-02|4.754E-02|
1.431E+00|4.781E-02|4.723E-02|
1.451E+00|4.748E-02|4.692E-02|
1.471E+00|4.717E-02|4.662E-02|
1.491E+00|4.687E-02|4.633E-02|
1.510E+00|4.657E-02|4.605E-02|
1.530E+00|4.629E-02|4.578E-02|
1.550E+00|4.601E-02|4.551E-02|
1.570E+00|4.574E-02|4.525E-02|
1.590E+00|4.547E-02|4.500E-02|
1.610E+00|4.522E-02|4.476E-02|
1.629E+00|4.497E-02|4.452E-02|
1.649E+00|4.473E-02|4.429E-02|
1.669E+00|4.449E-02|4.407E-02|
1.689E+00|4.427E-02|4.385E-02|
1.709E+00|4.404E-02|4.364E-02|
1.728E+00|4.383E-02|4.343E-02|
1.748E+00|4.362E-02|4.323E-02|
1.768E+00|4.341E-02|4.303E-02|
1.788E+00|4.321E-02|4.284E-02|
1.808E+00|4.302E-02|4.266E-02|
1.827E+00|4.283E-02|4.248E-02|
1.847E+00|4.265E-02|4.230E-02|
1.867E+00|4.247E-02|4.213E-02|
1.887E+00|4.230E-02|4.196E-02|
1.907E+00|4.213E-02|4.180E-02|
1.927E+00|4.197E-02|4.164E-02|
1.946E+00|4.180E-02|4.149E-02|
1.966E+00|4.165E-02|4.134E-02|
1.986E+00|4.150E-02|4.119E-02|
2.006E+00|4.135E-02|4.105E-02|
2.026E+00|4.120E-02|4.091E-02|
2.046E+00|4.106E-02|4.078E-02|
2.065E+00|4.092E-02|4.064E-02|
2.085E+00|4.079E-02|4.051E-02|
2.105E+00|4.066E-02|4.039E-02|
2.125E+00|4.053E-02|4.026E-02|
2.145E+00|4.040E-02|4.014E-02|
2.164E+00|4.028E-02|4.003E-02|
2.184E+00|4.016E-02|3.991E-02|
2.204E+00|4.004E-02|3.980E-02|
