Photon   |Tot. w/ |Tot. wo/|
Energy   |Coherent|Coherent|

2.420E-01|1.260E-01|1.188E-01|
2.618E-01|1.195E-01|1.133E-01|
2.817E-01|1.141E-01|1.088E-01|
3.015E-01|1.096E-01|1.049E-01|
3.213E-01|1.056E-01|1.015E-01|
3.411E-01|1.022E-01|9.852E-02|
3.609E-01|9.915E-02|9.586E-02|
3.808E-01|9.642E-02|9.345E-02|
4.006E-01|9.393E-02|9.125E-02|
4.204E-01|9.167E-02|8.922E-02|
4.402E-01|8.958E-02|8.735E-02|
4.600E-01|8.765E-02|8.560E-02|
4.798E-01|8.585E-02|8.397E-02|
4.997E-01|8.417E-02|8.243E-02|
5.195E-01|8.260E-02|8.099E-02|
5.393E-01|8.111E-02|7.962E-02|
5.591E-01|7.971E-02|7.832E-02|
5.789E-01|7.838E-02|7.708E-02|
5.988E-01|7.711E-02|7.590E-02|
6.186E-01|7.591E-02|7.477E-02|
6.384E-01|7.476E-02|7.369E-02|
6.582E-01|7.366E-02|7.266E-02|
6.780E-01|7.261E-02|7.166E-02|
6.978E-01|7.161E-02|7.071E-02|
7.177E-01|7.064E-02|6.979E-02|
7.375E-01|6.971E-02|6.891E-02|
7.573E-01|6.881E-02|6.805E-02|
7.771E-01|6.795E-02|6.723E-02|
7.969E-01|6.712E-02|6.643E-02|
8.168E-01|6.632E-02|6.566E-02|
8.366E-01|6.554E-02|6.491E-02|
8.564E-01|6.479E-02|6.419E-02|
8.762E-01|6.406E-02|6.349E-02|
8.960E-01|6.335E-02|6.281E-02|
9.159E-01|6.266E-02|6.214E-02|
9.357E-01|6.199E-02|6.149E-02|
9.555E-01|6.134E-02|6.087E-02|
9.753E-01|6.071E-02|6.025E-02|
9.951E-01|6.010E-02|5.965E-02|
1.015E+00|5.949E-02|5.907E-02|
1.035E+00|5.891E-02|5.850E-02|
1.055E+00|5.834E-02|5.795E-02|
1.074E+00|5.779E-02|5.741E-02|
1.094E+00|5.725E-02|5.689E-02|
1.114E+00|5.673E-02|5.638E-02|
1.134E+00|5.622E-02|5.588E-02|
1.154E+00|5.573E-02|5.540E-02|
1.173E+00|5.525E-02|5.493E-02|
1.193E+00|5.478E-02|5.447E-02|
1.213E+00|5.432E-02|5.402E-02|
1.233E+00|5.387E-02|5.359E-02|
1.253E+00|5.344E-02|5.316E-02|
1.273E+00|5.302E-02|5.275E-02|
1.292E+00|5.260E-02|5.234E-02|
1.312E+00|5.220E-02|5.195E-02|
1.332E+00|5.181E-02|5.156E-02|
1.352E+00|5.142E-02|5.118E-02|
1.372E+00|5.105E-02|5.082E-02|
1.391E+00|5.069E-02|5.046E-02|
1.411E+00|5.033E-02|5.011E-02|
1.431E+00|4.998E-02|4.976E-02|
1.451E+00|4.964E-02|4.943E-02|
1.471E+00|4.931E-02|4.910E-02|
1.491E+00|4.898E-02|4.878E-02|
1.510E+00|4.867E-02|4.847E-02|
1.530E+00|4.836E-02|4.817E-02|
1.550E+00|4.805E-02|4.787E-02|
1.570E+00|4.775E-02|4.758E-02|
1.590E+00|4.747E-02|4.729E-02|
1.610E+00|4.718E-02|4.701E-02|
1.629E+00|4.691E-02|4.674E-02|
1.649E+00|4.663E-02|4.647E-02|
1.669E+00|4.637E-02|4.621E-02|
1.689E+00|4.611E-02|4.595E-02|
1.709E+00|4.585E-02|4.570E-02|
1.728E+00|4.560E-02|4.546E-02|
1.748E+00|4.536E-02|4.522E-02|
1.768E+00|4.512E-02|4.498E-02|
1.788E+00|4.489E-02|4.475E-02|
1.808E+00|4.466E-02|4.452E-02|
1.827E+00|4.443E-02|4.430E-02|
1.847E+00|4.421E-02|4.408E-02|
1.867E+00|4.400E-02|4.387E-02|
1.887E+00|4.378E-02|4.366E-02|
1.907E+00|4.358E-02|4.345E-02|
1.927E+00|4.337E-02|4.325E-02|
1.946E+00|4.317E-02|4.306E-02|
1.966E+00|4.297E-02|4.286E-02|
1.986E+00|4.278E-02|4.267E-02|
2.006E+00|4.259E-02|4.248E-02|
2.026E+00|4.241E-02|4.230E-02|
2.046E+00|4.222E-02|4.212E-02|
2.065E+00|4.204E-02|4.194E-02|
2.085E+00|4.187E-02|4.177E-02|
2.105E+00|4.169E-02|4.159E-02|
2.125E+00|4.152E-02|4.143E-02|
2.145E+00|4.136E-02|4.126E-02|
2.164E+00|4.119E-02|4.110E-02|
2.184E+00|4.103E-02|4.094E-02|
2.204E+00|4.087E-02|4.078E-02|
