PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01     242.02       1.57      2988     16678     9.960    9.34
02     295.26       1.64     18565     20953    61.883    2.02
03     351.94       1.65     54515     12973   181.717    0.61
04     511.02       3.21      6293     11418    20.977    4.40
05     609.31       1.86    101442      7575   338.140    0.37
06     768.38       2.01     10911      5558    36.370    1.91
07     934.07       2.31      6542      4935    21.807    2.87
08    1120.28       2.45     29676      3749    98.920    0.78
09    1238.09       2.72     11230      2805    37.433    1.54
10    1377.67       2.84      7093      2723    23.643    2.21
11    1460.91       2.23       550      1979     1.833   18.91
12    1509.27       2.82      3536      2562    11.787    3.85
13    1729.57       3.00      4405       971    14.683    2.32
14    1764.53       3.25     23754      1226    79.180    0.77
15    1847.39       3.43      3055       744    10.183    2.85
16    2204.09       3.92      6343       345    21.143    1.48
