PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01     242.20       1.51      2178     15306     7.260   12.26
02     295.32       1.59     14167     19546    47.223    2.53
03     352.01       1.62     44474     12317   148.247    0.70
04     511.01       2.91      5144     11408    17.147    5.35
05     609.37       1.87     89514      7232   298.380    0.40
06     768.41       2.01      9720      5312    32.400    2.08
07     934.14       2.29      5774      4727    19.247    3.17
08    1120.35       2.49     26827      3669    89.423    0.83
09    1238.21       2.61     10179      3066    33.930    1.72
10    1377.74       2.68      6530      2585    21.767    2.34
11    1461.13       2.85       516      1871     1.720   19.57
12    1509.25       2.97      3268      2277    10.893    3.95
13    1729.73       3.06      4034       987    13.447    2.50
14    1764.62       3.33     22393      1097    74.643    0.79
15    1847.49       3.40      2941       605     9.803    2.79
16    2204.21       3.93      5886       416    19.620    1.61
