PN   CTRD keV   FWHM keV  Net Area  Backgrnd   Net C/S  %Err
01     242.06       1.67      1751     15068     5.837   15.08
02     295.25       1.60     12709     18599    42.363    2.74
03     351.93       1.62     37416     11987   124.720    0.80
04     510.98       2.97      4766     10711    15.887    5.58
05     609.30       1.87     76622      7250   255.407    0.44
06     768.38       2.14      8632      5056    28.773    2.26
07     934.04       2.31      5207      4369    17.357    3.36
08    1120.28       2.53     24147      3419    80.490    0.89
09    1238.15       2.57      9330      2499    31.100    1.73
10    1377.69       2.74      5549      2613    18.497    2.70
11    1461.00       2.88       582      1692     1.940   16.67
12    1509.24       3.05      2891      2320     9.637    4.43
13    1729.62       3.29      3830       785    12.767    2.43
14    1764.54       3.26     20070      1118    66.900    0.85
15    1847.38       3.04      2504       656     8.347    3.23
16    2204.13       4.01      5481       332    18.270    1.62
