Photon   |Tot. w/ |Tot. wo/|
Energy   |Coherent|Coherent|

2.420E-01|6.416E-01|5.973E-01|
2.618E-01|5.387E-01|5.003E-01|
2.817E-01|4.602E-01|4.267E-01|
3.015E-01|3.991E-01|3.695E-01|
3.213E-01|3.507E-01|3.244E-01|
3.411E-01|3.118E-01|2.883E-01|
3.609E-01|2.800E-01|2.588E-01|
3.808E-01|2.537E-01|2.345E-01|
4.006E-01|2.317E-01|2.143E-01|
4.204E-01|2.131E-01|1.972E-01|
4.402E-01|1.973E-01|1.827E-01|
4.600E-01|1.837E-01|1.703E-01|
4.798E-01|1.718E-01|1.595E-01|
4.997E-01|1.615E-01|1.501E-01|
5.195E-01|1.524E-01|1.418E-01|
5.393E-01|1.444E-01|1.345E-01|
5.591E-01|1.372E-01|1.280E-01|
5.789E-01|1.308E-01|1.222E-01|
5.988E-01|1.251E-01|1.170E-01|
6.186E-01|1.199E-01|1.123E-01|
6.384E-01|1.152E-01|1.080E-01|
6.582E-01|1.109E-01|1.042E-01|
6.780E-01|1.070E-01|1.006E-01|
6.978E-01|1.034E-01|9.737E-02|
7.177E-01|1.001E-01|9.437E-02|
7.375E-01|9.701E-02|9.160E-02|
7.573E-01|9.417E-02|8.903E-02|
7.771E-01|9.153E-02|8.664E-02|
7.969E-01|8.906E-02|8.441E-02|
8.168E-01|8.676E-02|8.232E-02|
8.366E-01|8.460E-02|8.037E-02|
8.564E-01|8.258E-02|7.853E-02|
8.762E-01|8.068E-02|7.681E-02|
8.960E-01|7.889E-02|7.518E-02|
9.159E-01|7.720E-02|7.365E-02|
9.357E-01|7.561E-02|7.220E-02|
9.555E-01|7.411E-02|7.084E-02|
9.753E-01|7.268E-02|6.954E-02|
9.951E-01|7.134E-02|6.832E-02|
1.015E+00|7.006E-02|6.716E-02|
1.035E+00|6.884E-02|6.605E-02|
1.055E+00|6.768E-02|6.499E-02|
1.074E+00|6.657E-02|6.397E-02|
1.094E+00|6.551E-02|6.300E-02|
1.114E+00|6.449E-02|6.207E-02|
1.134E+00|6.352E-02|6.119E-02|
1.154E+00|6.261E-02|6.035E-02|
1.173E+00|6.173E-02|5.955E-02|
1.193E+00|6.090E-02|5.879E-02|
1.213E+00|6.012E-02|5.807E-02|
1.233E+00|5.936E-02|5.738E-02|
1.253E+00|5.865E-02|5.673E-02|
1.273E+00|5.798E-02|5.612E-02|
1.292E+00|5.734E-02|5.553E-02|
1.312E+00|5.673E-02|5.498E-02|
1.332E+00|5.615E-02|5.445E-02|
1.352E+00|5.561E-02|5.395E-02|
1.372E+00|5.508E-02|5.348E-02|
1.391E+00|5.459E-02|5.302E-02|
1.411E+00|5.411E-02|5.259E-02|
1.431E+00|5.365E-02|5.218E-02|
1.451E+00|5.322E-02|5.178E-02|
1.471E+00|5.280E-02|5.140E-02|
1.491E+00|5.241E-02|5.104E-02|
1.510E+00|5.202E-02|5.070E-02|
1.530E+00|5.166E-02|5.036E-02|
1.550E+00|5.130E-02|5.004E-02|
1.570E+00|5.096E-02|4.973E-02|
1.590E+00|5.064E-02|4.944E-02|
1.610E+00|5.032E-02|4.915E-02|
1.629E+00|5.002E-02|4.888E-02|
1.649E+00|4.973E-02|4.861E-02|
1.669E+00|4.945E-02|4.836E-02|
1.689E+00|4.918E-02|4.811E-02|
1.709E+00|4.892E-02|4.788E-02|
1.728E+00|4.867E-02|4.765E-02|
1.748E+00|4.843E-02|4.743E-02|
1.768E+00|4.820E-02|4.722E-02|
1.788E+00|4.797E-02|4.702E-02|
1.808E+00|4.776E-02|4.683E-02|
1.827E+00|4.755E-02|4.664E-02|
1.847E+00|4.735E-02|4.646E-02|
1.867E+00|4.716E-02|4.629E-02|
1.887E+00|4.698E-02|4.612E-02|
1.907E+00|4.680E-02|4.596E-02|
1.927E+00|4.663E-02|4.581E-02|
1.946E+00|4.647E-02|4.567E-02|
1.966E+00|4.631E-02|4.553E-02|
1.986E+00|4.617E-02|4.539E-02|
2.006E+00|4.602E-02|4.527E-02|
2.026E+00|4.589E-02|4.514E-02|
2.046E+00|4.576E-02|4.503E-02|
2.065E+00|4.563E-02|4.491E-02|
2.085E+00|4.550E-02|4.480E-02|
2.105E+00|4.538E-02|4.469E-02|
2.125E+00|4.526E-02|4.459E-02|
2.145E+00|4.515E-02|4.449E-02|
2.164E+00|4.504E-02|4.439E-02|
2.184E+00|4.493E-02|4.429E-02|
2.204E+00|4.482E-02|4.419E-02|
