Photon   |Coherent|Incoher.|Photoel.|Nuclear |Electron|Tot. w/ |Tot. wo/|
Energy   |Scatter.|Scatter.|Absorb. |Pr. Prd.|Pr. Prd.|Coherent|Coherent|

1.000E-03|1.251E+01|3.587E-03|5.197E+03|0.000E+00|0.000E+00|5.209E+03|5.197E+03|
2.416E-02|1.834E+00|7.530E-02|5.103E+01|0.000E+00|0.000E+00|5.294E+01|5.111E+01|
4.732E-02|7.132E-01|9.379E-02|8.465E+00|0.000E+00|0.000E+00|9.272E+00|8.559E+00|
7.049E-02|3.782E-01|9.871E-02|2.849E+00|0.000E+00|0.000E+00|3.326E+00|2.947E+00|
9.365E-02|2.375E-01|9.917E-02|6.220E+00|0.000E+00|0.000E+00|6.557E+00|6.319E+00|
1.168E-01|1.631E-01|9.787E-02|3.492E+00|0.000E+00|0.000E+00|3.753E+00|3.589E+00|
1.400E-01|1.187E-01|9.583E-02|2.177E+00|0.000E+00|0.000E+00|2.391E+00|2.273E+00|
1.631E-01|9.032E-02|9.349E-02|1.454E+00|0.000E+00|0.000E+00|1.638E+00|1.547E+00|
1.863E-01|7.116E-02|9.108E-02|1.022E+00|0.000E+00|0.000E+00|1.184E+00|1.113E+00|
2.095E-01|5.759E-02|8.870E-02|7.490E-01|0.000E+00|0.000E+00|8.953E-01|8.377E-01|
2.326E-01|4.761E-02|8.640E-02|5.679E-01|0.000E+00|0.000E+00|7.019E-01|6.543E-01|
2.558E-01|4.005E-02|8.421E-02|4.429E-01|0.000E+00|0.000E+00|5.672E-01|5.271E-01|
2.789E-01|3.417E-02|8.214E-02|3.535E-01|0.000E+00|0.000E+00|4.698E-01|4.357E-01|
3.021E-01|2.950E-02|8.019E-02|2.878E-01|0.000E+00|0.000E+00|3.974E-01|3.680E-01|
3.253E-01|2.572E-02|7.835E-02|2.382E-01|0.000E+00|0.000E+00|3.423E-01|3.166E-01|
3.484E-01|2.263E-02|7.662E-02|2.001E-01|0.000E+00|0.000E+00|2.993E-01|2.767E-01|
3.716E-01|2.006E-02|7.498E-02|1.702E-01|0.000E+00|0.000E+00|2.652E-01|2.452E-01|
3.947E-01|1.790E-02|7.344E-02|1.464E-01|0.000E+00|0.000E+00|2.378E-01|2.199E-01|
4.179E-01|1.608E-02|7.197E-02|1.272E-01|0.000E+00|0.000E+00|2.153E-01|1.992E-01|
4.411E-01|1.452E-02|7.058E-02|1.115E-01|0.000E+00|0.000E+00|1.966E-01|1.821E-01|
4.642E-01|1.317E-02|6.926E-02|9.858E-02|0.000E+00|0.000E+00|1.810E-01|1.678E-01|
4.874E-01|1.201E-02|6.800E-02|8.774E-02|0.000E+00|0.000E+00|1.677E-01|1.557E-01|
5.106E-01|1.099E-02|6.680E-02|7.859E-02|0.000E+00|0.000E+00|1.564E-01|1.454E-01|
5.337E-01|1.009E-02|6.565E-02|7.082E-02|0.000E+00|0.000E+00|1.466E-01|1.365E-01|
5.569E-01|9.302E-03|6.455E-02|6.416E-02|0.000E+00|0.000E+00|1.380E-01|1.287E-01|
5.800E-01|8.602E-03|6.350E-02|5.841E-02|0.000E+00|0.000E+00|1.305E-01|1.219E-01|
