psi	phi	N
0	-30	61
0	-28	75
0	-26	78
0	-24	98
0	-22	71
0	-20	86
0	-18	68
0	-16	63
0	-14	45
0	-12	50
0	-10	31
0	-8	26
0	-6	22
0	0	8
0	5	4
0	10	8
0	15	29
0	20	54
0	25	48
0	30	37
60	-40	8
60	-35	9
60	-30	5
60	-25	10
60	-20	4
60	-15	5
60	-10	14
60	-5	48
60	0	87
60	5	139
60	10	122
60	15	84
60	20	43
60	25	17
60	30	11
60	35	7
60	40	10
120	-40	5
120	-35	11
120	-30	9
120	-25	25
120	-20	34
120	-15	43
120	-10	55
120	-5	13
120	0	6
120	5	7
120	10	18
120	15	42
120	20	75
120	25	93
120	30	80
120	35	34
120	40	16
