psi	phi	N
0	-40	3
0	-35	5
0	-30	9
0	-25	4
0	-20	5
0	-15	4
0	-10	6
0	-5	24
0	-4	36
0	-3	37
0	-2	53
0	-1	64
0	0	86
0	1	100
0	2	100
0	3	120
0	4	160
0	5	150
0	6	170
0	7	160
0	8	210
0	9	190
0	10	190
0	11	170
0	12	150
0	13	140
0	14	140
0	15	130
0	16	120
0	17	90
0	18	100
0	19	72
0	20	68
0	21	60
0	22	50
0	23	34
0	24	32
0	25	19
0	30	5
0	35	5
0	40	9
90	-40	8
90	-35	9
90	-30	8
90	-25	11
90	-20	32
90	-17.5	51
90	-15	95
90	-12.5	130
90	-10	200
90	-7.5	230
90	-5	250
90	-2.5	220
90	0	140
90	2.5	120
90	5	86
90	7.5	45
90	10	23
90	15	4
90	20	8
90	25	7
90	30	6
90	35	1
90	40	4
