Vypis dat z JKA300, v.c.0064
========================================================================
MCA    Konfigurace 1 BETA/INT
 650V A1 50 - 99/I A2 50 - 99/I A3 50 - 99/I  Zes:  25x Int. konst. 5 us
Pocet opakovani:   1  Doba 1 mereni:     20 s
========================================================================
400 V     20s C1 0
405 V     20s C1 0
410 V     20s C1 0
415 V     20s C1 0
420 V     20s C1 0
425 V     20s C1 0
430 V     20s C1 1979
435 V     20s C1 2082
440 V     20s C1 2255
445 V     20s C1 2368
450 V     20s C1 2303
455 V     20s C1 2442
460 V     20s C1 2477
465 V     20s C1 2519
470 V     20s C1 2477
475 V     20s C1 2603
480 V     20s C1 2489
485 V     20s C1 2655
490 V     20s C1 2477
495 V     20s C1 2557
500 V     20s C1 2653
505 V     20s C1 2635
510 V     20s C1 2714
515 V     20s C1 2641
520 V     20s C1 2659
525 V     20s C1 2595
530 V     20s C1 2741
535 V     20s C1 2692
540 V     20s C1 2669
545 V     20s C1 2665
550 V     20s C1 2722
555 V     20s C1 2680
560 V     20s C1 2620
565 V     20s C1 2708
570 V     20s C1 2584
575 V     20s C1 2720
580 V     20s C1 2668
585 V     20s C1 2734
590 V     20s C1 2628
595 V     20s C1 2699
600 V     20s C1 2678
605 V     20s C1 2744
610 V     20s C1 2646
615 V     20s C1 2708
620 V     20s C1 2632
625 V     20s C1 2712
630 V     20s C1 2630
635 V     20s C1 2765
640 V     20s C1 2664
645 V     20s C1 2753
650 V     20s C1 2731
655 V     20s C1 2676
660 V     20s C1 2695
665 V     20s C1 2698
670 V     20s C1 2730
675 V     20s C1 2816
680 V     20s C1 2783
685 V     20s C1 2738
690 V     20s C1 2878
695 V     20s C1 2740
700 V     20s C1 2767
705 V     20s C1 2819
710 V     20s C1 2857
715 V     20s C1 2753
720 V     20s C1 2904
725 V     20s C1 2734
730 V     20s C1 2867
735 V     20s C1 2811
740 V     20s C1 2792
745 V     20s C1 2871
750 V     20s C1 2912
755 V     20s C1 2933
760 V     20s C1 3026
765 V     20s C1 2994
770 V     20s C1 2959
775 V     20s C1 3140
780 V     20s C1 3238
785 V     20s C1 3257
790 V     20s C1 3651
795 V     20s C1 3726
800 V     20s C1 4233
